# gathered 2026-09-04T10:45:39.988969+00:00
table|seq_scan|seq_tup|idx_scan|ins|upd|del|live|dead|vac|autovac|analyze
mfa_amr_claims|0|0|0|0|0|0|0|0|||
mfa_challenges|0|0|0|0|0|0|0|0|||
mfa_factors|0|0|0|0|0|0|0|0|||
migrations|0|0|0|0|0|0|0|0|||
monthly_snapshots|14|0|11549|1|0|1|0|1|||
oauth_authorizations|0|0|0|0|0|0|0|0|||
oauth_client_states|0|0|0|0|0|0|0|0|||
oauth_clients|0|0|0|0|0|0|0|0|||
oauth_consents|0|0|0|0|0|0|0|0|||
oauth_temp_store|5|5|0|0|0|0|0|0|||
objects|0|0|0|0|0|0|0|0|||
one_time_tokens|0|0|0|0|0|0|0|0|||
orders|0|0|0|0|0|0|0|0|||
orders_default|75|0|11801|0|0|0|0|0|||
orders_y2026m02|37|0|11803|0|0|0|0|0|||
orders_y2026m03|37|0|11801|0|0|0|0|0|||
orders_y2026m04|37|0|11801|0|0|0|0|0|||
orders_y2026m05|37|0|11801|0|0|0|0|0|||
orders_y2026m06|37|0|11801|0|0|0|0|0|||
orders_y2026m07|37|0|11801|0|0|0|0|0|||
orders_y2026m08|37|0|11801|0|0|0|0|0|||
orders_y2026m09|38|0|11801|1|0|0|0|1|||
orders_y2026m10|37|0|11458|0|0|0|0|0|||
orders_y2026m11|37|0|11458|0|0|0|0|0|||
orders_y2026m12|37|0|11458|0|0|0|0|0|||
orders_y2027m01|37|0|11458|0|0|0|0|0|||
orders_y2027m02|37|0|11458|0|0|0|0|0|||
orders_y2027m03|37|0|11458|0|0|0|0|0|||
orders_y2027m04|37|0|11458|0|0|0|0|0|||
orders_y2027m05|37|0|11458|0|0|0|0|0|||
orders_y2027m06|37|0|11458|0|0|0|0|0|||
orders_y2027m07|37|0|11458|0|0|0|0|0|||
orders_y2027m08|37|0|11458|0|0|0|0|0|||
orders_y2027m09|37|0|11458|0|0|0|0|0|||
orders_y2027m10|37|0|11458|0|0|0|0|0|||
orders_y2027m11|37|0|11458|0|0|0|0|0|||
orders_y2027m12|37|0|11458|0|0|0|0|0|||
portfolio_chat_sessions|3|3|13691|0|0|0|0|0|||
position_alerts_sent|4|0|13691|0|0|0|0|0|||
position_ledger|3432|343201|242457|49848|1894|41946|215|0||2026-09-04 09:03:27.835070+00:00|
position_margin_observations|7|0|30304|0|0|0|0|0|||
positions|18|2402|128687|2142|639|1320|99|11||2026-09-04 08:57:28.016513+00:00|
push_subscriptions|22673|23103|0|645|0|215|1|33||2026-09-03 17:57:46.268005+00:00|
refresh_tokens|0|0|0|0|0|0|0|0|||
risk_alerts|39659|34947799|173217|16615|337|16479|57|12||2026-09-04 08:57:28.137418+00:00|
s3_multipart_uploads|0|0|0|0|0|0|0|0|||
s3_multipart_uploads_parts|0|0|0|0|0|0|0|0|||
saml_providers|0|0|0|0|0|0|0|0|||
saml_relay_states|0|0|0|0|0|0|0|0|||
schema_migrations|142|6104|0|0|0|0|0|0|||
schema_migrations|0|0|0|0|0|0|0|0|||
schema_migrations|206|17842|332|184|17|93|91|39||2026-09-03 17:16:44.378092+00:00|
secrets|12|0|0|0|0|0|0|0|||
sessions|0|0|0|0|0|0|0|0|||
shadow_behavioral_events|5|0|17117|0|0|0|0|0|||
sso_domains|0|0|0|0|0|0|0|0|||
sso_providers|0|0|0|0|0|0|0|0|||
strategy_group_legs|80973|20525|453|1154|0|1154|0|12||2026-09-03 10:17:46.354934+00:00|
strategy_groups|20312|4088|131|564|0|564|0|17||2026-09-03 09:22:43.889337+00:00|
streak_data|13910|13910|0|430|0|0|1|14||2026-09-03 19:09:49.562630+00:00|
subscription|0|0|12184|0|0|0|0|0|||
trades|32621|10651419|169241|46602|57058|39555|589|82||2026-09-04 07:27:23.190663+00:00|
trading_goals|14125|14340|0|645|0|215|1|33||2026-09-03 17:57:46.269014+00:00|
trading_sessions|139552|1368203|1|8529|31017|3426|9|0||2026-09-04 09:03:27.266989+00:00|
user_profiles|138906|419465|200|2786|216|211|3|3||2026-09-04 08:59:27.013284+00:00|
users|120|839170|72476|40176|0|14061|6|0||2026-09-04 09:03:27.679144+00:00|
users|100|0|1|0|0|0|0|0|||
vector_indexes|0|0|0|0|0|0|0|0|||
webauthn_challenges|0|0|0|0|0|0|0|0|||
webauthn_credentials|0|0|0|0|0|0|0|0|||
